,id,Date,Address,Postal Code,County,Price,Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Month_end_day,Province
95371,95381,2014-01-15,"drumbenagh, monaghan",,Monaghan,185000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
95633,95668,2014-01-20,"9 millbrae park, quigleys point, donegal",,Donegal,65000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
95701,95732,2014-01-21,"6 cranmear grove, magherature, buncrana",,Donegal,88000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
95775,95785,2014-01-22,"32 marian villas, donegal town, donegal",,Donegal,70000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
95781,95763,2014-01-22,"1 ash meadows, stranorlar, donegal",,Donegal,90000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
95924,95922,2014-01-23,"birchwood house, billis, ballyjamesduff",,Cavan,210000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
95951,95971,2014-01-24,"18 stonebridge court, railway road cavan",,Cavan,32000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
95958,95954,2014-01-24,"12 kildrum meadows, killea, donegal",,Donegal,43850.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96004,96077,2014-01-24,"murmod, virgina, co cavan",,Cavan,140000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96023,95949,2014-01-24,"1 bay view, hornhead rd, dunfanaghy",,Donegal,182000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96097,96165,2014-01-27,"main st, kilmacrennan, letterkenny",,Donegal,42000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96100,96102,2014-01-27,"14 cornadarragh, belturbet, co cavan",,Cavan,48000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96119,96166,2014-01-27,"meenderry, falcarragh, donegal",,Donegal,96000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96121,96170,2014-01-27,"no 7 rossaor cottage, ballyliffin, co donegal",,Donegal,100000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96195,96225,2014-01-28,"71 drum carraig, cavan, cavan",,Cavan,80000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96197,96209,2014-01-28,"5 bachelors walk, ballyshannon, co donegal",,Donegal,83000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96225,96262,2014-01-28,"upper bomany, letterkenny, co donegal",,Donegal,140000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96243,96232,2014-01-28,"aghadreenan, broomfield, castleblayney",,Monaghan,262000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96298,96354,2014-01-29,"killycarney, blacklion, co cavan",,Cavan,80000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96304,96348,2014-01-29,"clonoose little, ballyheelan, kilnaleck",,Cavan,100000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96305,96282,2014-01-29,"21 knockamona park, gortlee, letterkenny",,Donegal,101000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96312,96317,2014-01-29,"7 the acres, tully mountain, ramelton",,Donegal,112000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96334,96357,2014-01-29,"leenan, clonmany, urris",,Donegal,165000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96368,96454,2014-01-30,"tavanaskea, drumacrib p o, castleblayney",,Monaghan,30000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96388,96369,2014-01-30,"10 church st, letterkenny, donegal",,Donegal,82000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96407,96372,2014-01-30,"11 bayview, carndonagh, donegal",,Donegal,130000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96533,96536,2014-01-31,"3 lough ferran heights, milford, co donegal",,Donegal,50000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96571,96718,2014-01-31,"tullynaskeagh, bailieborough, cavan",,Cavan,90000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96574,96489,2014-01-31,"17 blue cedars, ballybofey, donegal",,Donegal,91000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-01-31,Ulster
96720,96724,2014-02-02,"leaba padraig, churchtown, carndonagh",,Donegal,80000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
96726,96808,2014-03-02,"trummon east laghey, co donegal",,Donegal,12500.0,No,No,Second-Hand Dwelling house /Apartment,,2014-03-31,Ulster
96728,96769,2014-03-02,"40b forest park, killygordon, forest park",,Donegal,31000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-03-31,Ulster
96766,96737,2014-03-02,"12 the oaks, drumgola wood, cavan",,Cavan,143000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-03-31,Ulster
96815,96840,2014-04-02,"34 armada cottages, bundoran, donegal",,Donegal,40000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-04-30,Ulster
96818,96882,2014-04-02,"kill, dunfanaghy, donegal",,Donegal,42000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-04-30,Ulster
96837,96858,2014-04-02,"6 rockview, carrickboy, ballyshannon",,Donegal,91500.0,No,No,Second-Hand Dwelling house /Apartment,,2014-04-30,Ulster
96844,96878,2014-04-02,"drumhallagh upper, rathmullan, co. donegal",,Donegal,120000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-04-30,Ulster
96851,96829,2014-04-02,"19 golan heights, fahan",,Donegal,145000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-04-30,Ulster
96925,96960,2014-05-02,"croveigh, dungloe, donegal",,Donegal,120000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-05-31,Ulster
96977,97080,2014-06-02,"st michael's, gweedore road, dungloe",,Donegal,20000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-06-30,Ulster
96999,96988,2014-06-02,"14 thornberry manor, letterkenny, donegal",,Donegal,87000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-06-30,Ulster
97002,97064,2014-06-02,"cappry, ballybofey, co donegal",,Donegal,98500.0,No,No,Second-Hand Dwelling house /Apartment,,2014-06-30,Ulster
97058,97074,2014-06-02,"latlurkan, monaghan",,Monaghan,290000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-06-30,Ulster
97087,97196,2014-07-02,"apt 1c russel quay, ballyconnell, cavan",,Cavan,42000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-07-31,Ulster
97088,97206,2014-07-02,"cashel, ardara, co donegal",,Donegal,50000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-07-31,Ulster
97105,97130,2014-07-02,"23 craig park, muff, donegal",,Donegal,70000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-07-31,Ulster
97119,97174,2014-07-02,"6 broadmeadows, ballyjamesduff, cavan",,Cavan,88000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-07-31,Ulster
97146,97204,2014-07-02,"braade, annagry",,Donegal,145000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-07-31,Ulster
97243,97340,2014-10-02,"guesthouse end st, raphoe, donegal",,Donegal,30000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-10-31,Ulster
97245,97333,2014-10-02,"corveen, derrybeg",,Donegal,40000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-10-31,Ulster
97250,97334,2014-10-02,"drumany, letterkenny, co donegal",,Donegal,56000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-10-31,Ulster
97342,97346,2014-10-02,"mullmara, killbrae, dunfanaghy",,Donegal,280000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-10-31,Ulster
97370,97434,2014-11-02,"terhohill, carndonagh, donegal",,Donegal,70000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-11-30,Ulster
97391,97423,2014-11-02,"kilduff, belturbet, co cavan",,Cavan,140000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-11-30,Ulster
97435,97507,2014-12-02,"8 killymooney dr, cavan, cavan",,Cavan,27000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-12-31,Ulster
97448,97492,2014-12-02,"5 foxwood, gleneely, inishowen",,Donegal,70000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-12-31,Ulster
97467,97463,2014-12-02,"2 the elms, drumgola wood, cavan",,Cavan,105000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-12-31,Ulster
97505,97510,2014-12-02,"9 shamrock dr, kingscourt, cavan",,Cavan,235000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-12-31,Ulster
97555,97558,2014-02-13,"20 cloughvalley, carrickmacross, co monaghan",,Monaghan,80000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
97566,97611,2014-02-13,"ballymallel, letterkenny, co donegal",,Donegal,120000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
97631,97743,2014-02-14,"74 glenntain manor, kilmacrenan rd, letterkenny",,Donegal,37000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
97641,97716,2014-02-14,"43 ash meadows, stranorlar, donegal",,Donegal,53500.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
97690,97785,2014-02-14,"killian, inver po, inver",,Donegal,115000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
97696,97702,2014-02-14,"37 ardliath, rossnowlagh, donegal",,Donegal,126000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
97737,97770,2014-02-14,"calhame, kincasslagh",,Donegal,187500.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
97742,97714,2014-02-14,"4 trinity rise, farnadawley, cavan",,Cavan,200000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
97808,97809,2014-02-16,"536 bonemaine, bridgend, donegal",,Donegal,50000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
97814,97862,2014-02-17,"7 oldtown manor, cavan, cavan",,Cavan,30000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
97819,97857,2014-02-17,"53 oraghallaigh park, cavan, cavan",,Cavan,50000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
97820,97818,2014-02-17,"136 foxhills, letterkenny",,Donegal,50000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
97823,97884,2014-02-17,"no.2 woodview terrace, main st, stranorlar",,Donegal,54000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
97829,97832,2014-02-17,"2 aishling grove, castleblayney, co monaghan",,Monaghan,80000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
97895,97911,2014-02-18,"19 st eunans terrace, letterkenny, donegal",,Donegal,49000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
97896,97970,2014-02-18,"cabra, trentagh, letterkenny",,Donegal,50000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
97904,97905,2014-02-18,"17 rockview, blacklion, county cavan",,Cavan,70000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
97912,97968,2014-02-18,"ballard, arranmore island",,Donegal,79000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
97914,97923,2014-02-18,"26 the meadows, smithborough, monaghan",,Monaghan,85000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
97922,97925,2014-02-18,"28 foxfield magheraboy rd, carrickmacross, monaghan",,Monaghan,100000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
97997,98034,2014-02-19,"34 slieve sneacht close, letterkenny, co donegal",,Donegal,29500.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98000,98039,2014-02-19,"5 fosters terrace, moville, donegal",,Donegal,45000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98001,98028,2014-02-19,"31 ard mc cool, stranorlar, donegal",,Donegal,50000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98003,98083,2014-02-19,"purt, dunfanaghy, letterkenny",,Donegal,55000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98025,98040,2014-02-19,"5 the sycamores, rathmullan, donegal",,Donegal,100000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98027,98008,2014-02-19,"19 ashgrove manor, killea, donegal",,Donegal,110000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98088,98173,2014-02-20,"drumcoe, mount charles, co. donegal",,Donegal,30000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98093,98172,2014-02-20,"devlin, creeslough, donegal",,Donegal,43000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98097,98146,2014-02-20,"68 belgium park, monaghan",,Monaghan,55000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98123,98145,2014-02-20,"67 the beeches, navenny, ballybofey",,Donegal,132000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98211,98306,2014-02-21,"main st, glaslough, monaghan",,Monaghan,65000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98238,98297,2014-02-21,"foxfield, carrickmacross, monaghan",,Monaghan,112000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98245,98258,2014-02-21,"60 whitehill rd, muff, donegal",,Donegal,122000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98259,98197,2014-02-21,"10 caiseal ban, letterkenny, co donegal",,Donegal,151000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98260,98294,2014-02-21,"dawros, rosbeg",,Donegal,151230.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98278,98312,2014-02-21,"shantonagh, castleblayney, monaghan",,Monaghan,210000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98337,98410,2014-02-24,"drumerkillew, kill, cootehill",,Cavan,35000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98350,98372,2014-02-24,"5 convent view carrickmacross, carrickmacross, monaghan",,Monaghan,65000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98368,98345,2014-02-24,"3 craig glenagivney, greencastle, donegal",,Donegal,110000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98371,98402,2014-02-24,"ardlogher, ballyconnell, cavan",,Cavan,120000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98390,98424,2014-02-24,"tullyvoose, mountcharles, county donegal",,Donegal,190000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98445,98450,2014-02-25,"2 belerne river village, belturbet, cavan",,Cavan,46000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98453,98466,2014-02-25,"37 killians court, mullagh, cavan",,Cavan,55000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98464,98506,2014-02-25,"billis, cavan, co cavan",,Cavan,85000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98474,98456,2014-02-25,"22 foxhills, letterkenny, donegal",,Donegal,97500.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98485,98533,2014-02-25,"rocks road, kingscourt, co cavan",,Cavan,123000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98488,98532,2014-02-25,"old golf course rd, donegal, donegal",,Donegal,130000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98496,98448,2014-02-25,"19 the fort, greencastle",,Donegal,150000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98522,98514,2014-02-25,"crossafehin, virginia, cavan",,Cavan,245000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98537,98633,2014-02-26,"ballinlough little, crossakiel, kells",,Cavan,24000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98570,98604,2014-02-26,"56 cherry ave, carndonagh, donegal",,Donegal,90000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98670,98700,2014-02-27,"27 creighan dr, ballinagh rd, cavan",,Cavan,60500.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98747,98750,2014-02-27,"ardgillew, donegal rd, ballyshannon",,Donegal,230000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98753,98758,2014-02-27,"carnamuggagh upper, letterkenny, donegal",,Donegal,249000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98779,98962,2014-02-28,"apt 3, russel court, market rd",,Monaghan,15921.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98783,98986,2014-02-28,"drumary, newbliss, monaghan",,Monaghan,26000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98786,98873,2014-02-28,"3 sli macnean, main street, blacklion",,Cavan,40000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98794,98968,2014-02-28,"ballybrack, moville, co donegal",,Donegal,43000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98805,99016,2014-02-28,"tonylion, kilnaleck",,Cavan,58000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98806,98795,2014-02-28,"11 delacy abbey, rathvilly, co cavan",,Cavan,60000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98816,98820,2014-02-28,"15 st. john's park, buncrana",,Donegal,70000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
98875,99001,2014-02-28,"no. 35 ardliath, rossnowlagh, co. donegal",,Donegal,122500.0,No,No,Second-Hand Dwelling house /Apartment,,2014-02-28,Ulster
99022,99114,2014-03-03,"apt. 3 railway court, pearse road, letterkenny",,Donegal,31000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-03-31,Ulster
99040,99111,2014-03-03,"apt 1 apt above the cosy bar, cara st, clones",,Monaghan,40000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-03-31,Ulster
99069,99047,2014-03-03,"14 abbots wood, carndonagh, donegal",,Donegal,100000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-03-31,Ulster
99120,99146,2014-03-03,"the cottage, corcuillogue, carrickmacross",,Monaghan,233000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-03-31,Ulster
99171,99248,2014-04-03,"lackenagh, burtonport, donegal",,Donegal,50000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-04-30,Ulster
99172,99170,2014-04-03,"2 russell court, broad rd, monaghan",,Monaghan,50000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-04-30,Ulster
99179,99169,2014-04-03,"17 river run, belturbet, cavan",,Cavan,65000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-04-30,Ulster
99187,99249,2014-04-03,"latlurcan, monaghan",,Monaghan,75000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-04-30,Ulster
99193,99191,2014-04-03,"4 lakeview, drumgola wood, cavan",,Cavan,86000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-04-30,Ulster
99199,99257,2014-04-03,"port, inver, co donegal",,Donegal,105000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-04-30,Ulster
99200,99251,2014-04-03,"ludden buncrana, buncrana, donegal",,Donegal,110000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-04-30,Ulster
99208,99246,2014-04-03,"kingscourt road, carrickmacross",,Monaghan,120000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-04-30,Ulster
99267,99355,2014-05-03,"knockranny, swanlinbar, cavan",,Cavan,45000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-05-31,Ulster
99274,99276,2014-05-03,"14a killylastin heights, letterkenny",,Donegal,55000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-05-31,Ulster
99276,99319,2014-05-03,"5 annaghieran, shercock, co cavan",,Cavan,60000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-05-31,Ulster
99278,99313,2014-05-03,"39 tully, monaghan, monaghan",,Monaghan,60000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-05-31,Ulster
99280,99280,2014-05-03,"16 choill darragh, castleblaney, co monaghan",,Monaghan,63000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-05-31,Ulster
99281,99359,2014-05-03,"no 2 holiday home, station road, mount charles",,Donegal,67000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-05-31,Ulster
99331,99297,2014-05-03,"2 st orans dr, buncrana, donegal",,Donegal,195000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-05-31,Ulster
99367,99481,2014-06-03,"ph 2 fortwell apts, main st, donegal",,Donegal,25000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-06-30,Ulster
99399,99474,2014-06-03,"lisminton, ballintra, donegal",,Donegal,85000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-06-30,Ulster
99401,99482,2014-06-03,"pullamore far, cavan",,Cavan,95000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-06-30,Ulster
99415,99422,2014-06-03,"4 the links, tullan strand, bundoran",,Donegal,120000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-06-30,Ulster
99425,99475,2014-06-03,"lurgans, carrickmacross, monaghan",,Monaghan,140000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-06-30,Ulster
99528,99636,2014-07-03,"apt 21 block a clares court, main street/ church street",,Cavan,14361.0,No,No,Second-Hand Dwelling house /Apartment,,2014-07-31,Ulster
99529,99657,2014-07-03,"apt 41 block b clares court, main street/church street",,Cavan,14361.0,No,No,Second-Hand Dwelling house /Apartment,,2014-07-31,Ulster
99541,99489,2014-07-03,"1 harmony heights, cavan, cavan",,Cavan,50000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-07-31,Ulster
99612,99699,2014-07-03,"north stralell, carrick, co donegal",,Donegal,122000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-07-31,Ulster
99712,99713,2014-10-03,"1 railway court, pearse rd, letterkenny",,Donegal,35500.0,No,No,Second-Hand Dwelling house /Apartment,,2014-10-31,Ulster
99730,99730,2014-10-03,"17  cherry avenue, carndonagh",,Donegal,81867.55,No,No,Second-Hand Dwelling house /Apartment,,2014-10-31,Ulster
99755,99756,2014-10-03,"4 woodbrook, kinnegar road, rathmullan",,Donegal,145000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-10-31,Ulster
99758,99738,2014-10-03,"22 yew park, virginia, cavan",,Cavan,150000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-10-31,Ulster
99811,99820,2014-11-03,"11 railway view, belturbet, cavan",,Cavan,25000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-11-30,Ulster
99832,99819,2014-11-03,"11 cluain aoibhinn, swellan rd, cavan",,Cavan,76000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-11-30,Ulster
99908,99908,2014-12-03,"10 main st, bawnboy, cavan",,Cavan,38000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-12-31,Ulster
99913,100018,2014-12-03,"old cottage, magheroarty, donegal",,Donegal,47000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-12-31,Ulster
99922,100015,2014-12-03,"new row, killybegs, donegal",,Donegal,55000.0,No,No,Second-Hand Dwelling house /Apartment,,2014-12-31,Ulster
